avg_bits_per_edge,avg_edge_f1,avg_edges,avg_exact_reconstruction,avg_executable,avg_lossless_expand_match,avg_macro_token_share,avg_nodes,avg_original_tokens,avg_raw_edge_f1,avg_strict_exact_reconstruction,avg_structure_edge_f1,avg_tokens,avg_vocab_proxy,dataset,failed_graphs,graphs,mode,split,test_graphs,train_graphs,val_graphs
2.82363534967072,1.0,19.772727272727273,1.0,1.0,1.0,0.0,17.901515151515152,25.166666666666668,0.6173084764770309,0.0,1.0,7.371212121212121,7.166666666666667,MUTAG,0,132,entropy,train,,,
1.874648421106181,1.0,19.772727272727273,1.0,1.0,1.0,0.14743867243867245,17.901515151515152,25.166666666666668,0.6173084764770309,0.0,1.0,4.393939393939394,4.371212121212121,MUTAG,0,132,motif_macro,train,,,
3.281655324744356,1.0,19.772727272727273,1.0,1.0,1.0,0.14743867243867245,17.901515151515152,25.166666666666668,0.6173084764770309,0.0,1.0,4.393939393939394,4.371212121212121,MUTAG,0,132,motif_entropy,train,,,
2.5215532936275413,1.0,19.772727272727273,1.0,1.0,1.0,0.04921837421837422,17.901515151515152,25.166666666666668,0.6173084764770309,0.0,1.0,6.742424242424242,6.575757575757576,MUTAG,0,132,motif_hybrid,train,,,
18.334580610030226,1.0,21.789473684210527,1.0,1.0,1.0,0.0,19.473684210526315,36.68421052631579,0.5126008053918589,0.0,1.0,36.68421052631579,22.473684210526315,MUTAG,0,19,original,val,,,
5.480595282032533,1.0,21.789473684210527,1.0,1.0,1.0,0.0,19.473684210526315,36.68421052631579,0.5126008053918589,0.0,1.0,13.68421052631579,11.736842105263158,MUTAG,0,19,compact,val,,,
4.936585945321889,1.0,21.789473684210527,1.0,1.0,1.0,0.0,19.473684210526315,36.68421052631579,0.5126008053918589,0.0,1.0,13.68421052631579,11.736842105263158,MUTAG,0,19,entropy,val,,,
2.3756073729241898,1.0,21.789473684210527,1.0,1.0,1.0,0.20520619731146048,19.473684210526315,36.68421052631579,0.5126008053918589,0.0,1.0,6.157894736842105,6.052631578947368,MUTAG,0,19,motif_macro,val,,,
5.0109528176699785,1.0,21.789473684210527,1.0,1.0,1.0,0.20520619731146048,19.473684210526315,36.68421052631579,0.5126008053918589,0.0,1.0,6.157894736842105,6.052631578947368,MUTAG,0,19,motif_entropy,val,,,
4.000735025979473,1.0,21.789473684210527,1.0,1.0,1.0,0.06650717703349282,19.473684210526315,36.68421052631579,0.5126008053918589,0.0,1.0,10.263157894736842,9.68421052631579,MUTAG,0,19,motif_hybrid,val,,,
16.109902011020203,1.0,18.83783783783784,1.0,1.0,1.0,0.0,17.243243243243242,27.945945945945947,0.5880029244767154,0.0,1.0,27.945945945945947,19.16216216216216,MUTAG,0,37,original,test,,,
5.119417837964702,1.0,18.83783783783784,1.0,1.0,1.0,0.0,17.243243243243242,27.945945945945947,0.5880029244767154,0.0,1.0,10.64864864864865,9.27027027027027,MUTAG,0,37,compact,test,,,
4.418048009838577,1.0,18.83783783783784,1.0,1.0,1.0,0.0,17.243243243243242,27.945945945945947,0.5880029244767154,0.0,1.0,10.64864864864865,9.27027027027027,MUTAG,0,37,entropy,test,,,
2.5420891067235263,1.0,18.83783783783784,1.0,1.0,1.0,0.16265551265551265,17.243243243243242,27.945945945945947,0.5880029244767154,0.0,1.0,5.513513513513513,5.351351351351352,MUTAG,0,37,motif_macro,test,,,
3.692493769997565,1.0,18.83783783783784,1.0,1.0,1.0,0.16265551265551265,17.243243243243242,27.945945945945947,0.5880029244767154,0.0,1.0,5.513513513513513,5.351351351351352,MUTAG,0,37,motif_entropy,test,,,
3.2760455269281943,1.0,18.83783783783784,1.0,1.0,1.0,0.06681681681681682,17.243243243243242,27.945945945945947,0.5880029244767154,0.0,1.0,7.972972972972973,7.45945945945946,MUTAG,0,37,motif_hybrid,test,,,
,,,,,,,,,,,,,,OGBG-MOLHIV,,330,dataset,dataset,80,200,50
13.904149216417018,1.0,28.505,1.0,1.0,1.0,0.0,26.735,34.06,0.5391702612425245,0.0,1.0,34.06,24.0,OGBG-MOLHIV,0,200,original,train,,,
4.083204855856598,1.0,28.505,1.0,1.0,1.0,0.0,26.735,34.06,0.5391702612425245,0.0,1.0,11.775,11.225,OGBG-MOLHIV,0,200,compact,train,,,
3.6592054589655447,1.0,28.505,1.0,1.0,1.0,0.0,26.735,34.06,0.5391702612425245,0.0,1.0,11.775,11.225,OGBG-MOLHIV,0,200,entropy,train,,,
1.9115538367410914,1.0,28.505,1.0,1.0,1.0,0.21104284604284604,26.735,34.06,0.5391702612425245,0.0,1.0,5.355,5.305,OGBG-MOLHIV,0,200,motif_macro,train,,,
4.490931276130537,1.0,28.505,1.0,1.0,1.0,0.21104284604284604,26.735,34.06,0.5391702612425245,0.0,1.0,5.355,5.305,OGBG-MOLHIV,0,200,motif_entropy,train,,,
